lat_appx_lots_of_err,long_appx_lots_of_err,EXT,EST,AGR,CSN,OPN
42.9558,-81.6226,0.4,1.3,1.7,1.8,1.5
43.6425,-79.3872,1.3,1.5,1.8,1.5,2.2
43.2604,-79.8961,-1.5,0.6,1.6,0.2,2.1
43.55,-80.25,-1.2,0.5,2.0,-0.1,0.6
42.9899,-81.2607,0.0,2.0,1.3,1.3,1.5
43.6425,-79.3872,0.4,1.4,1.4,1.1,1.5
43.6425,-79.3872,1.5,1.9,1.5,1.5,1.0
44.2763,-78.313,1.0,0.7,2.1,2.4,1.7
45.5,-73.5833,0.6,0.7,1.1,1.0,1.8
42.9943,-81.2623,0.4,2.1,1.2,1.0,1.0
42.9943,-81.2623,0.7,2.4,1.8,1.0,1.6
43.6619,-79.3952,0.8,1.6,0.1,1.4,1.3
51.0426,-114.0791,1.1,1.3,1.8,1.1,0.9
43.6667,-79.4167,1.3,1.4,1.6,1.4,1.7
43.6536,-79.4258,1.0,1.6,2.2,1.5,2.1
44.231,-76.4791,0.5,2.2,2.2,0.6,1.2
53.555,-113.4822,-1.4,2.3,0.8,0.0,1.7
45.8845,-72.4841,-0.4,1.7,1.5,1.2,1.3
49.0992,-122.8691,-0.4,2.1,2.6,1.5,1.7
45.2742,-66.0645,0.5,1.8,1.9,1.4,1.8
43.6667,-79.4167,-0.9,2.7,1.1,0.8,1.6
43.6543,-79.3796,-1.5,3.5,1.1,-0.1,1.0
42.3159,-83.0393,-0.2,1.1,1.4,1.5,1.4
43.0093,-81.21,-0.1,3.1,1.0,1.2,0.8
43.649,-79.3784,0.5,1.9,1.2,1.3,1.5
43.6425,-79.3872,1.2,0.9,1.9,0.8,2.2
43.6425,-79.3872,-0.8,1.6,0.4,-0.6,1.2
43.6425,-79.3872,-0.4,3.2,1.4,0.7,1.9
42.9943,-81.2623,-0.2,2.2,1.0,1.1,1.3
46.0965,-64.7976,-0.5,2.5,0.3,0.9,1.5
43.0093,-81.21,0.3,0.9,0.8,0.6,0.9
49.2249,-123.1052,-0.9,2.3,1.3,0.3,1.0
42.9899,-81.2607,-1.1,3.1,1.5,0.1,1.5
53.5529,-113.584,-1.3,2.1,0.8,1.3,1.6
51.0696,-114.0862,-0.2,0.8,1.2,0.6,2.0
49.8373,-99.9747,0.1,0.9,2.0,1.7,1.8
42.9793,-81.2556,-0.1,1.4,1.2,0.4,0.5
42.9799,-81.2609,0.0,1.4,1.4,1.4,1.0
43.6425,-79.3872,1.4,-0.2,1.6,0.1,1.8
45.6595,-73.5729,1.7,2.0,2.6,1.1,2.1
49.2007,-122.6641,-0.8,0.9,2.2,1.4,0.6
53.5462,-113.2562,0.5,2.1,1.3,1.2,1.2
45.3155,-75.837,0.8,0.8,1.1,0.9,1.4
43.9667,-79.25,-1.1,1.9,1.3,0.8,1.2
44.1545,-78.4603,-0.3,2.9,0.2,-0.4,2.2
43.447,-80.4725,0.8,2.1,0.9,1.0,1.4
45.6167,-61.9667,-0.6,0.9,2.0,0.0,1.9
42.9793,-81.2556,0.8,1.3,1.6,2.1,2.3
43.0093,-81.21,0.6,1.4,1.0,1.2,1.5
42.9943,-81.2623,-0.1,1.7,1.1,1.5,1.1
43.7895,-79.3735,1.2,2.2,-0.2,0.0,1.6
43.7895,-79.3735,0.4,2.6,0.8,-0.2,0.4
55.1726,-118.7997,-1.2,2.7,2.0,1.1,1.8
49.7833,-112.15,-1.8,2.3,0.3,0.4,1.3
45.469,-73.8862,0.2,0.0,1.4,1.5,1.9
42.9778,-81.1941,2.0,0.2,1.3,2.6,2.5
51.0833,-114.0833,1.5,1.9,0.6,0.5,0.5
49.8754,-119.3958,0.2,0.3,0.9,0.7,1.5
52.1193,-106.6594,1.1,0.5,2.2,2.0,1.7
45.5066,-73.5623,-1.7,2.3,1.1,-0.5,2.0
43.6425,-79.3872,0.3,2.2,1.5,2.4,1.9
55.1726,-118.7997,0.8,0.0,-0.2,1.7,1.9
43.2604,-79.8961,-1.3,1.9,1.0,0.4,0.8
43.24100000000001,-79.8452,-0.4,2.2,1.4,-0.4,1.3
43.1964,-79.5624,-0.5,1.4,1.9,0.1,1.8
50.4423,-104.6116,-1.0,2.9,0.8,0.6,1.6
43.2604,-79.8961,-0.3,1.1,1.2,1.6,0.0
52.2592,-113.8237,-1.6,2.1,0.9,-0.6,1.3
42.9833,-81.25,-0.7,2.5,1.0,0.2,1.6
42.989,-81.058,-0.5,1.8,0.6,0.3,0.6
44.2763,-78.313,0.6,2.8,1.2,1.8,1.7
49.5031,-119.5905,-0.6,3.0,1.2,1.0,1.5
43.6543,-79.3796,-0.8,3.4,2.2,1.1,0.6
53.2833,-110.0,-0.8,1.1,1.1,1.2,1.7
43.2318,-79.7696,1.0,0.7,2.5,0.6,1.8
42.9943,-81.2623,-0.3,1.2,1.7,0.9,0.6
51.0318,-113.9786,-0.8,1.2,0.1,1.4,1.5
45.4127,-75.6742,0.0,2.7,0.9,0.7,1.7
43.6425,-79.3872,-0.2,3.8,0.5,0.3,2.0
