,EXT,EST,AGR,CSN,OPN,Clusters,lat,long
89,-1.5,2.5,1.0,1.9,1.6,0,49.2136,-122.8949
90,-1.0,2.0,1.4,0.3,1.6,2,43.4236,-80.48
91,-0.8,-0.2,-0.1,0.8,1.1,3,43.7496,-79.4886
92,-0.7,1.5,1.6,-0.5,1.7,1,45.4,-75.7235
93,-1.5,2.5,1.4,-0.2,1.4,2,43.6425,-79.3872
94,0.3,1.4,2.5,0.8,0.8,1,45.2278,-75.6867
95,1.1,1.6,2.3,0.9,2.0,5,44.231,-76.4791
96,-0.6,2.8,1.8,0.6,1.7,2,44.0,-79.4667
97,1.1,0.6,1.0,-0.2,1.1,1,50.4423,-104.6116
98,0.3,1.7,1.7,1.4,1.3,0,44.2322,-76.4799
99,-0.3,0.8,1.1,2.6,1.4,0,44.231,-76.4791
100,0.4,1.3,1.7,1.8,1.5,5,42.9558,-81.6226
101,1.3,1.5,1.8,1.5,2.2,5,43.6425,-79.3872
102,-1.5,0.6,1.6,0.2,2.1,3,43.2604,-79.8961
103,-1.2,0.5,2.0,-0.1,0.6,1,43.55,-80.25
104,0.0,2.0,1.3,1.3,1.5,0,42.9899,-81.2607
105,0.4,1.4,1.4,1.1,1.5,1,43.6425,-79.3872
106,1.5,1.9,1.5,1.5,1.0,5,43.6425,-79.3872
107,1.0,0.7,2.1,2.4,1.7,5,44.2763,-78.313
108,0.6,0.7,1.1,1.0,1.8,1,45.5,-73.5833
109,0.4,2.1,1.2,1.0,1.0,4,42.9943,-81.2623
110,0.7,2.4,1.8,1.0,1.6,4,42.9943,-81.2623
111,0.8,1.6,0.1,1.4,1.3,1,43.6619,-79.3952
112,1.1,1.3,1.8,1.1,0.9,5,51.0426,-114.0791
113,1.3,1.4,1.6,1.4,1.7,5,43.6667,-79.4167
114,1.0,1.6,2.2,1.5,2.1,5,43.6536,-79.4258
115,0.5,2.2,2.2,0.6,1.2,4,44.231,-76.4791
116,-1.4,2.3,0.8,0.0,1.7,2,53.555,-113.4822
117,-0.4,1.7,1.5,1.2,1.3,0,45.8845,-72.4841
118,-0.4,2.1,2.6,1.5,1.7,0,49.0992,-122.8691
119,0.5,1.8,1.9,1.4,1.8,5,45.2742,-66.0645
120,-0.9,2.7,1.1,0.8,1.6,2,43.6667,-79.4167
121,-1.5,3.5,1.1,-0.1,1.0,2,43.6543,-79.3796
122,-0.2,1.1,1.4,1.5,1.4,0,42.3159,-83.0393
123,-0.1,3.1,1.0,1.2,0.8,2,43.0093,-81.21
124,0.5,1.9,1.2,1.3,1.5,4,43.649,-79.3784
125,1.2,0.9,1.9,0.8,2.2,5,43.6425,-79.3872
126,-0.8,1.6,0.4,-0.6,1.2,2,43.6425,-79.3872
127,-0.4,3.2,1.4,0.7,1.9,2,43.6425,-79.3872
128,-0.2,2.2,1.0,1.1,1.3,0,42.9943,-81.2623
129,-0.5,2.5,0.3,0.9,1.5,2,46.0965,-64.7976
130,0.3,0.9,0.8,0.6,0.9,1,43.0093,-81.21
131,-0.9,2.3,1.3,0.3,1.0,2,49.2249,-123.1052
132,-1.1,3.1,1.5,0.1,1.5,2,42.9899,-81.2607
133,-1.3,2.1,0.8,1.3,1.6,3,53.5529,-113.584
134,-0.2,0.8,1.2,0.6,2.0,1,51.0696,-114.0862
135,0.1,0.9,2.0,1.7,1.8,5,49.8373,-99.9747
136,-0.1,1.4,1.2,0.4,0.5,1,42.9793,-81.2556
137,0.0,1.4,1.4,1.4,1.0,0,42.9799,-81.2609
